SampleID	RawEXTENDScores	NormEXTENDScores
ACH.000082	60817.3931019878	0.545339044525608
ACH.000359	62324.1588415131	0.629523258177912
ACH.000364	59603.7617881519	0.477532486983844
ACH.000410	56918.248084399	0.3274906765866
ACH.000748	67345.1426343274	0.910049660704284
ACH.001001	66030.6512959194	0.836607972475096
ACH.001275	68955.1130032287	1
ACH.001526	56021.1720334867	0.27737031616736
ACH.001715	57815.5510325505	0.377623713937065
ACH.001814	61929.5761391502	0.60747760526196
ACH.002067	58209.6547296309	0.399642604442655
ACH.002069	65615.8663356768	0.813433603164163
ACH.002470	63628.1708889162	0.702379459990901
ACH.002471	57831.1397132355	0.378494666063809
ACH.002690	51056.6772496021	0
ACH.002834	53203.9738950525	0.119971190500001
