ProfileID,ModelCondition,ModelID,Datatype,WESKit,Product,Stranded,Source,SharedToDbgap
PR-01r7OM,MC-000957-Yckn,ACH-000957,rna,,,False,BROAD,
PR-02XmLG,MC-002785-qo9e,ACH-002785,rna,,,True,BROAD,
PR-045poV,MC-003273-qwen,ACH-003273,rna,,NOVA_SEQ_6000,True,BROAD,
PR-04VvBz,MC-001289-BpdI,ACH-001289,wes,ICE,,,BROAD,True
PR-08baLC,MC-000237-Fv8V,ACH-000237,wgs,,NOVA_SEQ_6000,,BROAD,
PR-09gmEI,MC-000520-YIm7,ACH-000520,rna,,,False,BROAD,
PR-09S1KU,MC-002269-tG4R,ACH-002269,wes,AGILENT,,,SANGER,
PR-0B6q0Z,MC-000575-q3Ch,ACH-000575,rna,,,False,BROAD,
PR-0c2Lny,MC-000074-Qybw,ACH-000074,wes,AGILENT,,,SANGER,
PR-0ccWFQ,MC-000869-u5uo,ACH-000869,rna,,,False,BROAD,
PR-0CHfFI,MC-001409-HWlo,ACH-001409,rna,,,True,BROAD,True
PR-0DEQ8n,MC-000715-nlbC,ACH-000715,wes,AGILENT,,,BROAD,
PR-0dHyNy,MC-002066-nmqF,ACH-002066,rna,,,True,BROAD,True
PR-0EypNA,MC-000730-2O1L,ACH-000730,wgs,,,,BROAD,
PR-0f2vAo,MC-000856-lEgX,ACH-000856,rna,,,False,BROAD,
PR-0fBntb,MC-000027-ohxB,ACH-000027,wes,AGILENT,,,BROAD,
PR-0fum2y,MC-001335-yPd0,ACH-001335,rna,,,True,BROAD,True
PR-0g14RE,MC-000644-IkVV,ACH-000644,wes,AGILENT,,,SANGER,
PR-0H05VY,MC-000077-BZeg,ACH-000077,wgs,,,,BROAD,
PR-0HbjBS,MC-001182-QeJa,ACH-001182,wes,AGILENT,,,SANGER,
PR-0hdbB5,MC-001098-vhLt,ACH-001098,rna,,,True,BROAD,
PR-0HHXsp,MC-001655-jaAf,ACH-001655,rna,,,True,BROAD,True
PR-0hvX2B,MC-000411-stVE,ACH-000411,rna,,,False,BROAD,
PR-0IljO4,MC-000866-dtB3,ACH-000866,rna,,,False,BROAD,
PR-0jK5CP,MC-000414-MWUF,ACH-000414,rna,,,False,BROAD,
PR-0kBhJF,MC-001818-ueZl,ACH-001818,wgs,,,,BROAD,
PR-0KetCf,MC-000216-RgzG,ACH-000216,rna,,,False,BROAD,
PR-0l1GM0,MC-002254-bQOD,ACH-002254,wes,AGILENT,,,SANGER,
PR-0lYTUJ,MC-000463-0z7G,ACH-000463,wgs,,,,BROAD,
PR-0M0gNH,MC-001099-jclT,ACH-001099,rna,,,False,BROAD,
PR-0mCrkq,MC-000250-3qw8,ACH-000250,rna,,,False,BROAD,
PR-0ndQ3C,MC-000321-v6tA,ACH-000321,wes,AGILENT,,,BROAD,
PR-0NLPeq,MC-000433-fLcb,ACH-000433,wgs,,,,BROAD,
PR-0NZTmr,MC-000761-5VXC,ACH-000761,rna,,,False,BROAD,
PR-0o2rt1,MC-002486-s7Hs,ACH-002486,wgs,,,,BROAD,
PR-0o6ywu,MC-001383-teSI,ACH-001383,wes,AGILENT,,,SANGER,
PR-0oGaGk,MC-000051-Vd8P,ACH-000051,rna,,,False,BROAD,
PR-0OiVj9,MC-000038-Q9yo,ACH-000038,rna,,,False,BROAD,
PR-0p3nvU,MC-000701-0nb0,ACH-000701,wes,AGILENT,,,BROAD,
PR-0P77hD,MC-000429-A7Sw,ACH-000429,wes,AGILENT,,,SANGER,
PR-0PSp7b,MC-002399-dpf9,ACH-002399,rna,,,True,BROAD,
PR-0QFNfM,MC-000971-cQQl,ACH-000971,rna,,,False,BROAD,
PR-0qGhSp,MC-000169-4B8F,ACH-000169,wes,AGILENT,,,SANGER,
PR-0qQ705,MC-003465-R9P4,ACH-003465,rna,,NOVA_SEQ_6000,True,BROAD,
PR-0qqA8m,MC-000530-vUsT,ACH-000530,wgs,,,,BROAD,
PR-0riUD0,MC-000093-IB96,ACH-000093,wgs,,NOVA_SEQ_6000,,BROAD,
PR-0rx9JA,MC-001537-4GEo,ACH-001537,rna,,,True,BROAD,
PR-0sb1bx,MC-002230-gr3t,ACH-002230,wes,AGILENT,,,SANGER,
PR-0SNESh,MC-000847-vO2g,ACH-000847,wes,AGILENT,,,SANGER,
PR-0sYHco,MC-002042-doLH,ACH-002042,wgs,,NOVA_SEQ_6000,,BROAD,True
PR-0tdcT8,MC-000815-2aJs,ACH-000815,wes,AGILENT,,,SANGER,
PR-0TqtF4,MC-002801-Dhlv,ACH-002801,rna,,,True,BROAD,
PR-0uSN5g,MC-000415-LtPG,ACH-000415,rna,,,False,BROAD,
PR-0v7sOP,MC-001855-5n8l,ACH-001855,rna,,,True,BROAD,
PR-0vINre,MC-000742-Vkqf,ACH-000742,rna,,,False,BROAD,
PR-0wkCvS,MC-002015-RTao,ACH-002015,wgs,,NOVA_SEQ_6000,,BROAD,True
PR-0XQ6oe,MC-002121-VHOd,ACH-002121,wes,AGILENT,,,SANGER,
PR-0XuLau,MC-000706-d8dm,ACH-000706,wes,ICE,,,BROAD,
PR-0yCTLT,MC-001172-cKtB,ACH-001172,wes,ICE,,,BROAD,
PR-0yqA6t,MC-000877-xqqy,ACH-000877,rna,,,False,BROAD,
PR-0z5dYr,MC-001193-ObM2,ACH-001193,rna,,,False,BROAD,
PR-0ZqBjs,MC-000577-J7sN,ACH-000577,rna,,,False,BROAD,
PR-0zqOQm,MC-000371-fnbQ,ACH-000371,rna,,,False,BROAD,
PR-0Zt9XK,MC-001795-P5GZ,ACH-001795,rna,,,True,BROAD,
PR-10vZ6j,MC-000753-DxZw,ACH-000753,wes,AGILENT,,,BROAD,
PR-11IVol,MC-000595-Ssey,ACH-000595,wes,AGILENT,,,SANGER,
PR-11LrS9,MC-000802-XNE7,ACH-000802,wes,AGILENT,,,SANGER,
PR-11OFEY,MC-000900-lYab,ACH-000900,wes,AGILENT,,,SANGER,
PR-11UHTI,MC-001953-TfUH,ACH-001953,wgs,,,,BROAD,
PR-12QdUO,MC-000964-tTts,ACH-000964,wes,AGILENT,,,BROAD,
PR-12qkb6,MC-001846-eTrK,ACH-001846,rna,,,True,BROAD,
PR-12SQGk,MC-000558-HsPe,ACH-000558,wes,AGILENT,,,SANGER,
PR-132fPs,MC-000653-q5Vl,ACH-000653,wes,AGILENT,,,SANGER,
PR-14sBTC,MC-000434-8t7w,ACH-000434,wes,ICE,,,BROAD,
PR-14WoYv,MC-003191-gctw,ACH-003191,rna,,NOVA_SEQ_6000,True,BROAD,
PR-191Fbv,MC-000837-xXNo,ACH-000837,wes,ICE,,,BROAD,
PR-1930g1,MC-000563-jCCJ,ACH-000563,wes,AGILENT,,,SANGER,
PR-1a8HqD,MC-000948-TWxM,ACH-000948,wgs,,,,BROAD,
PR-1ah9FQ,MC-000508-Bwd0,ACH-000508,wgs,,,,BROAD,
PR-1AtrhT,MC-000126-1rwT,ACH-000126,wgs,,NOVA_SEQ_6000,,BROAD,
PR-1B5abd,MC-000499-mIS1,ACH-000499,wes,AGILENT,,,BROAD,
PR-1CYINn,MC-000486-zsD2,ACH-000486,wgs,,,,BROAD,
PR-1DMQEW,MC-000673-RSQe,ACH-000673,wgs,,,,BROAD,
PR-1Dpd7i,MC-000986-UTzf,ACH-000986,wgs,,,,BROAD,
PR-1dX3q2,MC-000723-XaoY,ACH-000723,wes,AGILENT,,,BROAD,
PR-1e83fN,MC-000356-xmV6,ACH-000356,wgs,,,,BROAD,
PR-1ExPUw,MC-002023-a5ob,ACH-002023,wes,ICE,,,BROAD,True
PR-1fyy3l,MC-002364-MRqD,ACH-002364,wes,AGILENT,,,SANGER,
PR-1g5Q2Y,MC-002675-q6w0,ACH-002675,rna,,,True,BROAD,
PR-1GbOQ3,MC-000822-5No9,ACH-000822,rna,,,False,BROAD,
PR-1hnFd4,MC-000556-YK2Z,ACH-000556,rna,,,False,BROAD,
PR-1I95pE,MC-001578-zUzM,ACH-001578,wes,AGILENT,,,SANGER,
PR-1ip1tY,MC-002141-tkp3,ACH-002141,wes,AGILENT,,,SANGER,
PR-1JkFPD,MC-001370-W35c,ACH-001370,wes,ICE,,,BROAD,
PR-1jLfJo,MC-000238-rNv7,ACH-000238,wes,AGILENT,,,SANGER,
PR-1JTXkC,MC-000589-DVAf,ACH-000589,wgs,,,,BROAD,
PR-1Ju43a,MC-000082-zify,ACH-000082,wgs,,,,BROAD,
PR-1jxOSO,MC-000154-Ip6F,ACH-000154,rna,,,False,BROAD,
PR-1KE6K3,MC-000819-hAT2,ACH-000819,wgs,,,,BROAD,
PR-1kfdq0,MC-000599-SvzV,ACH-000599,wes,AGILENT,,,BROAD,
PR-1KtKNh,MC-000942-b3sA,ACH-000942,wes,AGILENT,,,BROAD,
PR-1L6wsI,MC-001410-v8bP,ACH-001410,rna,,,True,BROAD,True
PR-1mxODI,MC-001680-amSC,ACH-001680,wes,AGILENT,,,SANGER,
PR-1n7Cpv,MC-002690-2vlv,ACH-002690,rna,,,True,BROAD,
PR-1NGHoM,MC-002409-L2D6,ACH-002409,wes,ICE,HISEQ_4000,,BROAD,
PR-1nMfGT,MC-000767-kxY9,ACH-000767,rna,,,False,BROAD,
PR-1ofDIZ,MC-001738-GVx0,ACH-001738,wes,AGILENT,,,SANGER,
PR-1og6pR,MC-000883-Soug,ACH-000883,rna,,,False,BROAD,
PR-1oT3fV,MC-000985-wCMb,ACH-000985,rna,,,False,BROAD,
PR-1Oypwt,MC-000150-x7RT,ACH-000150,rna,,,False,BROAD,
PR-1P0pL3,MC-002368-1MMJ,ACH-002368,wes,AGILENT,,,SANGER,
PR-1p5gBP,MC-002356-6Mia,ACH-002356,wes,AGILENT,,,SANGER,
PR-1q68oG,MC-002400-DlWj,ACH-002400,wes,ICE,,,BROAD,
PR-1ri2y7,MC-001791-uBwq,ACH-001791,rna,,,True,BROAD,
PR-1ROJWL,MC-000117-n0Mf,ACH-000117,wes,AGILENT,,,SANGER,
PR-1sOqpV,MC-000716-fcc9,ACH-000716,wes,AGILENT,,,SANGER,
PR-1SxiAL,MC-001142-o8Gg,ACH-001142,rna,,,False,BROAD,
PR-1T6Ogc,MC-001709-uqbT,ACH-001709,wgs,,,,BROAD,True
PR-1tFrLv,MC-001205-qL1Z,ACH-001205,wes,AGILENT,,,BROAD,True
PR-1Tiri5,MC-000679-4DaG,ACH-000679,rna,,,False,BROAD,
PR-1TN3aP,MC-000496-10Gs,ACH-000496,wgs,,,,BROAD,
PR-1TpRzd,MC-001278-XOlL,ACH-001278,wes,ICE,,,BROAD,True
PR-1tswkQ,MC-000500-AuBV,ACH-000500,rna,,,False,BROAD,
PR-1Uo7R0,MC-000363-oBSH,ACH-000363,wes,AGILENT,,,SANGER,
PR-1vrwZu,MC-000482-VfTP,ACH-000482,rna,,,False,BROAD,
PR-1wr0dD,MC-000236-1iU3,ACH-000236,rna,,,False,BROAD,
PR-1WZfVC,MC-000403-3khV,ACH-000403,rna,,,False,BROAD,
PR-1x4KRV,MC-000025-jryP,ACH-000025,rna,,,False,BROAD,
PR-1xuv37,MC-001417-QWc5,ACH-001417,wes,AGILENT,,,SANGER,
PR-1yNVXd,MC-001765-czdh,ACH-001765,wes,ICE,,,BROAD,True
PR-1ysvRM,MC-000325-SArX,ACH-000325,wes,AGILENT,,,BROAD,
PR-1YXvdo,MC-000966-gj8L,ACH-000966,wes,AGILENT,,,SANGER,
PR-1z1P4o,MC-000203-Ylfj,ACH-000203,wes,AGILENT,,,BROAD,
PR-1Zkz62,MC-002499-dWxK,ACH-002499,wgs,,NOVA_SEQ_6000,,BROAD,
PR-1ZmtTs,MC-000053-6XfB,ACH-000053,rna,,,False,BROAD,
PR-2056gD,MC-000789-RFW6,ACH-000789,wes,AGILENT,,,SANGER,
PR-20INxP,MC-002206-0UHF,ACH-002206,wes,AGILENT,,,SANGER,
PR-20Kvag,MC-002314-4BVq,ACH-002314,wes,AGILENT,,,SANGER,
PR-21pydG,MC-000538-s70K,ACH-000538,wes,AGILENT,,,SANGER,
PR-22NLFP,MC-000135-L9Ng,ACH-000135,wes,AGILENT,,,SANGER,
PR-240v4w,MC-000054-JG3n,ACH-000054,wgs,,,,BROAD,
PR-24alez,MC-000945-JzaO,ACH-000945,rna,,,False,BROAD,
PR-24B4W0,MC-001508-tAH6,ACH-001508,wgs,,,,BROAD,
PR-24IFcm,MC-000080-flxZ,ACH-000080,rna,,,False,BROAD,
PR-27AsBr,MC-001353-5EnB,ACH-001353,rna,,,True,BROAD,True
PR-27C2SB,MC-003134-TppJ,ACH-003134,rna,,NOVA_SEQ_6000,True,BROAD,
PR-27KADa,MC-002156-AxZK,ACH-002156,wes,AGILENT,,,SANGER,
PR-27yVZ5,MC-000136-Im3x,ACH-000136,wes,AGILENT,,,SANGER,
PR-28WsnQ,MC-000858-toxv,ACH-000858,wgs,,,,BROAD,
PR-2ae0kb,MC-001694-EG4Q,ACH-001694,wgs,,,,BROAD,True
PR-2AxAKM,MC-000725-fXxs,ACH-000725,wgs,,,,BROAD,
PR-2bdZSY,MC-001418-YrAD,ACH-001418,wes,AGILENT,,,SANGER,
PR-2BGNxT,MC-002351-ZOdO,ACH-002351,wes,AGILENT,,,SANGER,
PR-2BUowi,MC-002290-nhI3,ACH-002290,wes,AGILENT,,,SANGER,
PR-2CHHvY,MC-000643-0mJe,ACH-000643,wes,AGILENT,,,SANGER,
PR-2echgq,MC-001379-q3xU,ACH-001379,rna,,,True,BROAD,True
PR-2ei6MD,MC-001691-0y4G,ACH-001691,wgs,,,,BROAD,
PR-2eSD2x,MC-001066-sBYG,ACH-001066,wes,AGILENT,,,BROAD,
PR-2f2JlB,MC-002676-snau,ACH-002676,wgs,,NOVA_SEQ_6000,,BROAD,
PR-2fQQqb,MC-002886-IBtz,ACH-002886,rna,,,True,BROAD,
PR-2g1LPy,MC-001227-0xJu,ACH-001227,rna,,,True,BROAD,
PR-2guO1R,MC-000898-mg3e,ACH-000898,wgs,,NOVA_SEQ_6000,,BROAD,
PR-2IQBFl,MC-000711-jmma,ACH-000711,wes,AGILENT,,,SANGER,
PR-2iYOqs,MC-000262-Ldf3,ACH-000262,wes,ICE,,,BROAD,
PR-2JhPpe,MC-002924-1x2y,ACH-002924,rna,,,True,BROAD,
PR-2Jjiec,MC-000661-bVjm,ACH-000661,rna,,,False,BROAD,
PR-2JWZFn,MC-000329-Yx8n,ACH-000329,wes,AGILENT,,,SANGER,
PR-2kNraO,MC-000355-fX1V,ACH-000355,wes,AGILENT,,,SANGER,
PR-2kNtFF,MC-000867-HGDX,ACH-000867,wgs,,,,BROAD,
PR-2KTJS4,MC-001306-fIUy,ACH-001306,wgs,,,,BROAD,
PR-2LIEYd,MC-000584-fYwY,ACH-000584,wes,AGILENT,,,SANGER,
PR-2lOuz3,MC-002261-vRZW,ACH-002261,wes,AGILENT,,,SANGER,
PR-2lppyq,MC-000973-F02J,ACH-000973,rna,,,False,BROAD,
PR-2LRi7T,MC-002044-OqIP,ACH-002044,wes,ICE,,,BROAD,True
PR-2n9k8d,MC-002249-YxB5,ACH-002249,wes,AGILENT,,,SANGER,
PR-2NFdzg,MC-001209-FezB,ACH-001209,rna,,,True,BROAD,
PR-2NsliB,MC-000450-v6IX,ACH-000450,wgs,,NOVA_SEQ_6000,,BROAD,
PR-2nuI3M,MC-001542-iWSd,ACH-001542,rna,,,True,BROAD,True
PR-2OGFOX,MC-000611-WhVU,ACH-000611,rna,,,False,BROAD,
PR-2oO4yn,MC-000483-PV93,ACH-000483,wes,AGILENT,,,SANGER,
PR-2qZ6BH,MC-000617-B40F,ACH-000617,rna,,,False,BROAD,
PR-2Rohed,MC-002275-TAqY,ACH-002275,wes,AGILENT,,,SANGER,
PR-2RtWG6,MC-001802-IUUl,ACH-001802,rna,,,True,BROAD,
PR-2rVY3l,MC-002511-mxVh,ACH-002511,rna,,,True,BROAD,
PR-2tdb7F,MC-000130-bX0R,ACH-000130,wes,AGILENT,,,BROAD,
PR-2tDYpf,MC-000999-JOmJ,ACH-000999,rna,,,False,BROAD,
PR-2tnlh5,MC-003101-6WpP,ACH-003101,wgs,,NOVA_SEQ_6000,,BROAD,
PR-2TYUx5,MC-000009-Kmv4,ACH-000009,wes,AGILENT,,,SANGER,
PR-2UB6KF,MC-001100-Ekc7,ACH-001100,wgs,,,,BROAD,True
PR-2uDYZY,MC-000335-5q7T,ACH-000335,wgs,,,,BROAD,
PR-2v3g3G,MC-000723-XaoY,ACH-000723,rna,,,False,BROAD,
PR-2VAsRM,MC-000972-WC01,ACH-000972,rna,,,False,BROAD,
PR-2VgCsB,MC-002796-wn6o,ACH-002796,rna,,NOVA_SEQ_6000,True,BROAD,
PR-2VgKnC,MC-000232-q940,ACH-000232,wes,ICE,,,BROAD,
PR-2vKf8J,MC-000441-N6yZ,ACH-000441,wes,AGILENT,,,SANGER,
PR-2WACfU,MC-001627-wPx0,ACH-001627,rna,,,True,BROAD,True
PR-2WHKnj,MC-000890-eNBf,ACH-000890,wes,AGILENT,,,SANGER,
PR-2WXnzi,MC-000359-Xkje,ACH-000359,rna,,,False,BROAD,
PR-2WXRlv,MC-001533-SowA,ACH-001533,rna,,,True,BROAD,True
PR-2x5Bi2,MC-001703-jAiM,ACH-001703,rna,,,True,BROAD,True
PR-2YKrCh,MC-001708-hBpK,ACH-001708,rna,,,True,BROAD,
PR-2zjQBJ,MC-000447-VLSP,ACH-000447,wes,AGILENT,,,SANGER,
PR-2zNA9s,MC-002252-KHzG,ACH-002252,wes,AGILENT,,,SANGER,
PR-30iCKx,MC-000077-BZeg,ACH-000077,wes,AGILENT,,,BROAD,
PR-30x3GH,MC-000940-41v2,ACH-000940,rna,,,False,BROAD,
PR-31jRAf,MC-000531-xOEq,ACH-000531,wes,AGILENT,,,BROAD,
PR-33A9G9,MC-000069-L4Ub,ACH-000069,rna,,,False,BROAD,
PR-33eWct,MC-000822-5No9,ACH-000822,wgs,,,,BROAD,
PR-34luyw,MC-000231-tEoc,ACH-000231,wgs,,,,BROAD,
PR-35nh9T,MC-002300-fhXY,ACH-002300,wes,AGILENT,,,SANGER,
PR-36vuIB,MC-000132-D7jg,ACH-000132,rna,,,False,BROAD,
PR-37acac,MC-000734-gBsJ,ACH-000734,wgs,,NOVA_SEQ_6000,,BROAD,
PR-391OtC,MC-000805-uUAU,ACH-000805,rna,,,False,BROAD,
PR-39HBc7,MC-000087-VZnM,ACH-000087,rna,,,False,BROAD,
PR-39ipKV,MC-000372-76mQ,ACH-000372,wes,AGILENT,,,SANGER,
PR-39zHGy,MC-000442-2s22,ACH-000442,wes,AGILENT,,,SANGER,
PR-3AAPDM,MC-002002-GZA1,ACH-002002,rna,,,True,BROAD,
PR-3ATZmJ,MC-000597-RDyO,ACH-000597,rna,,,False,BROAD,
PR-3aWe62,MC-000951-mW9M,ACH-000951,wes,AGILENT,,,SANGER,
PR-3b1cgr,MC-002287-tUNB,ACH-002287,wes,AGILENT,,,SANGER,
PR-3BJhtr,MC-001699-TiNC,ACH-001699,rna,,,True,BROAD,True
PR-3BkIqE,MC-001356-nuAU,ACH-001356,wes,ICE,,,BROAD,True
PR-3C794r,MC-000590-jjkj,ACH-000590,rna,,,False,BROAD,
PR-3cet5z,MC-000649-Hb96,ACH-000649,wes,ICE,,,BROAD,
PR-3cEXAx,MC-000667-NPwb,ACH-000667,wgs,,,,BROAD,
PR-3ciTsA,MC-000528-BMri,ACH-000528,wgs,,,,BROAD,
PR-3clnyl,MC-000989-Dydx,ACH-000989,wes,AGILENT,,,BROAD,
PR-3CMhX7,MC-000948-TWxM,ACH-000948,rna,,,False,BROAD,
PR-3cTeXa,MC-000967-ncE2,ACH-000967,wgs,,,,BROAD,
PR-3DdR8v,MC-003061-5LP5,ACH-003061,wgs,,NOVA_SEQ_6000,,BROAD,
PR-3dMYvZ,MC-000633-iIki,ACH-000633,rna,,,False,BROAD,
PR-3DOFqn,MC-000668-rT7J,ACH-000668,wgs,,,,BROAD,
PR-3f91xT,MC-000060-nHy6,ACH-000060,wes,AGILENT,,,SANGER,
PR-3fpunT,MC-000101-0kr1,ACH-000101,wgs,,NOVA_SEQ_6000,,BROAD,
PR-3H2lE3,MC-000637-aARQ,ACH-000637,rna,,,False,BROAD,
PR-3hCsGH,MC-000696-I5h5,ACH-000696,wgs,,,,BROAD,
PR-3HObZr,MC-001421-pJpX,ACH-001421,wgs,,NOVA_SEQ_6000,,BROAD,
PR-3hoqtV,MC-001282-YJUQ,ACH-001282,wes,AGILENT,,,BROAD,
PR-3HQUeC,MC-001453-2D76,ACH-001453,wes,AGILENT,,,SANGER,
PR-3Id9kv,MC-000535-xYQ2,ACH-000535,wes,AGILENT,,,SANGER,
PR-3IGzZL,MC-002781-ot8s,ACH-002781,rna,,,True,BROAD,
PR-3Jaqa6,MC-000262-Ldf3,ACH-000262,rna,,,False,BROAD,
PR-3jm0km,MC-000356-gdC3,ACH-000356,wes,AGILENT,,,SANGER,
PR-3jQsYT,MC-001707-F2CK,ACH-001707,wes,ICE,,,BROAD,True
PR-3JsWWy,MC-001608-UOYC,ACH-001608,rna,,,True,BROAD,True
PR-3JyTG0,MC-000935-E55p,ACH-000935,rna,,,False,BROAD,
PR-3L6oOj,MC-001516-bRnF,ACH-001516,wes,ICE,,,BROAD,True
PR-3lN258,MC-000470-7IjR,ACH-000470,wes,AGILENT,,,SANGER,
PR-3LnMkg,MC-000466-hcLR,ACH-000466,rna,,,False,BROAD,
PR-3lR3Kt,MC-000684-nbWG,ACH-000684,wes,AGILENT,,,SANGER,
PR-3lYZxw,MC-001391-RTBf,ACH-001391,wes,ICE,,,BROAD,True
PR-3m6kCG,MC-001208-AXGm,ACH-001208,wes,AGILENT,,,SANGER,
PR-3MGaLM,MC-000780-jx6G,ACH-000780,wes,AGILENT,,,SANGER,
PR-3MR99B,MC-000498-COlJ,ACH-000498,wes,AGILENT,,,SANGER,
PR-3nG8Ct,MC-001035-Wfke,ACH-001035,rna,,,True,BROAD,
PR-3nKPNc,MC-001862-LLaC,ACH-001862,rna,,,True,BROAD,
PR-3noEom,MC-000677-aJN8,ACH-000677,rna,,,False,BROAD,
PR-3nSnQG,MC-000772-ox5U,ACH-000772,rna,,,False,BROAD,
PR-3O96Xk,MC-001849-Eqdi,ACH-001849,rna,,,True,BROAD,
PR-3oiVuO,MC-000576-XM9D,ACH-000576,wes,AGILENT,,,BROAD,
PR-3ouIg3,MC-000648-3pbU,ACH-000648,rna,,,False,BROAD,
PR-3PJVFB,MC-002283-sVKc,ACH-002283,wgs,,NOVA_SEQ_6000,,BROAD,
PR-3q5Wwz,MC-000623-239I,ACH-000623,rna,,,False,BROAD,
PR-3Qh8qx,MC-001385-aPIz,ACH-001385,wes,AGILENT,,,SANGER,
PR-3qs75a,MC-000438-LSP3,ACH-000438,wes,AGILENT,,,SANGER,
PR-3qZd3C,MC-000149-T5h1,ACH-000149,wes,AGILENT,,,SANGER,
PR-3RBBHZ,MC-001197-u3xl,ACH-001197,wes,ICE,,,BROAD,True
PR-3RD5tJ,MC-000050-aBTf,ACH-000050,rna,,,False,BROAD,
PR-3rmupJ,MC-001458-fAIa,ACH-001458,wes,ICE,,,BROAD,True
PR-3sPq2a,MC-000213-JI9c,ACH-000213,wes,AGILENT,,,SANGER,
PR-3Sx2P1,MC-000643-Lgxt,ACH-000643,rna,,,False,BROAD,
PR-3tYmYv,MC-000903-mGhX,ACH-000903,wes,AGILENT,,,SANGER,
PR-3uXkJd,MC-000024-kxGf,ACH-000024,rna,,,False,BROAD,
PR-3vjLBF,MC-001369-jLCX,ACH-001369,wes,ICE,,,BROAD,
PR-3vwKej,MC-001740-3u0E,ACH-001740,wes,ICE,,,BROAD,
PR-3wDEFc,MC-000882-WA3V,ACH-000882,rna,,,False,BROAD,
PR-3WfiTh,MC-000539-pCbq,ACH-000539,rna,,,False,BROAD,
PR-3WQTHC,MC-000514-fd1i,ACH-000514,wes,ICE,,,BROAD,
PR-3x4PYY,MC-000872-Vecx,ACH-000872,rna,,,False,BROAD,
PR-3x4RI2,MC-001453-LwRm,ACH-001453,wes,ICE,,,BROAD,True
PR-3xbT2W,MC-000035-aT3G,ACH-000035,rna,,,False,BROAD,
PR-3XrJcO,MC-000507-V957,ACH-000507,wes,AGILENT,,,BROAD,
PR-3yfy2J,MC-000212-Rnzm,ACH-000212,rna,,,False,BROAD,
PR-3yGRCN,MC-000523-eCl1,ACH-000523,wes,AGILENT,,,BROAD,
PR-3yujxl,MC-000241-I2In,ACH-000241,wes,AGILENT,,,BROAD,
PR-3Yx3ba,MC-000719-VWM6,ACH-000719,wgs,,,,BROAD,
PR-3zSvim,MC-000102-BlKn,ACH-000102,wes,AGILENT,,,SANGER,
PR-41uIUA,MC-000362-z9Q8,ACH-000362,wes,AGILENT,,,BROAD,
PR-43bz8T,MC-001737-6D5K,ACH-001737,rna,,,True,BROAD,True
PR-43Hong,MC-000288-UzBM,ACH-000288,wgs,,NOVA_SEQ_6000,,BROAD,
PR-44QNXx,MC-000123-f35B,ACH-000123,wes,ICE,,,BROAD,
PR-44uEAY,MC-000338-WuM6,ACH-000338,wes,AGILENT,,,SANGER,
PR-44ugos,MC-000017-MjyQ,ACH-000017,wes,ICE,,,BROAD,
PR-452U9P,MC-000502-yIwz,ACH-000502,wes,AGILENT,,,BROAD,
PR-45kxaJ,MC-003155-7AMI,ACH-003155,rna,,NOVA_SEQ_6000,True,BROAD,
PR-45qihg,MC-000694-gObM,ACH-000694,wgs,,NOVA_SEQ_6000,,BROAD,
PR-46SoC2,MC-000045-lM0u,ACH-000045,wgs,,,,BROAD,
PR-48lLTm,MC-002510-huzv,ACH-002510,wes,ICE,,,BROAD,
PR-4a3lMb,MC-000925-XGp3,ACH-000925,wes,AGILENT,,,BROAD,
PR-4a5BUE,MC-000210-6UEs,ACH-000210,wes,AGILENT,,,BROAD,
PR-4BC6Pj,MC-001857-JYg4,ACH-001857,rna,,,True,BROAD,True
PR-4bX4fN,MC-000924-PCGo,ACH-000924,wes,AGILENT,,,SANGER,
PR-4ceSCX,MC-000543-WI4t,ACH-000543,wes,AGILENT,,,BROAD,
PR-4DTcWS,MC-000375-3NLt,ACH-000375,rna,,,False,BROAD,
PR-4epcq5,MC-000825-XqQc,ACH-000825,wes,ICE,,,BROAD,
PR-4EPjPy,MC-000407-MQcN,ACH-000407,wes,AGILENT,,,BROAD,
PR-4fe2A7,MC-000366-kCtj,ACH-000366,wes,AGILENT,,,SANGER,
PR-4FG12g,MC-000261-Fkq1,ACH-000261,wgs,,NOVA_SEQ_6000,,BROAD,
PR-4FMaFX,MC-000395-b1SS,ACH-000395,rna,,,False,BROAD,
PR-4FTz66,MC-000595-Gzg4,ACH-000595,rna,,,False,BROAD,
PR-4gFIC1,MC-001333-aE8O,ACH-001333,wes,ICE,,,BROAD,True
PR-4gQ8AD,MC-000930-7W2U,ACH-000930,wes,AGILENT,,,SANGER,
PR-4Guo7R,MC-000929-dOQ9,ACH-000929,wgs,,NOVA_SEQ_6000,,BROAD,
PR-4Gx3lv,MC-000467-3FoK,ACH-000467,rna,,,False,BROAD,
PR-4HJAGr,MC-001858-c43i,ACH-001858,wes,ICE,,,BROAD,True
PR-4IHwlo,MC-000990-B253,ACH-000990,wes,AGILENT,,,BROAD,
PR-4jA3sP,MC-000997-5jTp,ACH-000997,wgs,,,,BROAD,
PR-4Ja92f,MC-000293-5MrH,ACH-000293,wgs,,,,BROAD,
PR-4KCXkR,MC-000567-vQCv,ACH-000567,rna,,,False,BROAD,
PR-4kmLyj,MC-000246-NnuW,ACH-000246,wgs,,NOVA_SEQ_6000,,BROAD,
PR-4kpDxc,MC-002543-1Me7,ACH-002543,rna,,,True,BROAD,
