ProfileID,ModelCondition,ModelID,Datatype,WESKit,Product,Stranded,Source,SharedToDbgap
PR-egPx75,MC-000496-10Gs,ACH-000496,rna,,,False,BROAD,
PR-EGrnmr,MC-001333-aE8O,ACH-001333,rna,,,True,BROAD,True
PR-EgVxjj,MC-001034-dKi9,ACH-001034,wes,ICE,,,BROAD,True
PR-EGztqb,MC-002233-JFo7,ACH-002233,wes,AGILENT,,,SANGER,
PR-EH33kC,MC-000541-nrlm,ACH-000541,rna,,,False,BROAD,
PR-EHFFMF,MC-000666-xR3q,ACH-000666,wes,AGILENT,,,SANGER,
PR-EHnH3Z,MC-001854-sTtz,ACH-001854,wes,ICE,,,BROAD,
PR-eHTSch,MC-003267-X8O8,ACH-003267,rna,,,True,BROAD,
PR-EHVOVz,MC-001651-DEK1,ACH-001651,wes,ICE,,,BROAD,True
PR-Ehys18,MC-003107-ok6u,ACH-003107,rna,,NOVA_SEQ_6000,True,BROAD,
PR-eHZJvZ,MC-002310-7HOf,ACH-002310,wes,AGILENT,,,SANGER,
PR-EImm1L,MC-002293-Vi6T,ACH-002293,wes,AGILENT,,,SANGER,
PR-eIoI0L,MC-000237-Fv8V,ACH-000237,rna,,,False,BROAD,
PR-EIrIJl,MC-000527-sDUu,ACH-000527,wes,AGILENT,,,SANGER,
PR-eJ7KAg,MC-001441-SMif,ACH-001441,rna,,,True,BROAD,True
PR-EJgvop,MC-001393-GjYg,ACH-001393,rna,,,True,BROAD,True
PR-EjK0zK,MC-000116-Wp16,ACH-000116,wgs,,NOVA_SEQ_6000,,BROAD,
PR-eJKW7S,MC-001819-imt5,ACH-001819,wes,ICE,,,BROAD,True
PR-EJPcTI,MC-001610-dKv7,ACH-001610,wgs,,NOVA_SEQ_6000,,BROAD,
PR-ejTtKM,MC-002433-iccX,ACH-002433,wgs,,NOVA_SEQ_6000,,BROAD,
PR-eJXkNU,MC-000840-lGr7,ACH-000840,wes,AGILENT,,,SANGER,
PR-eK1c8R,MC-002461-8Uwl,ACH-002461,wes,ICE,,,BROAD,
PR-EkK3sD,MC-000740-PW6X,ACH-000740,wes,ICE,,,BROAD,
PR-EkzVD4,MC-000524-7y8Z,ACH-000524,rna,,,False,BROAD,
PR-eL15XH,MC-001445-i0gH,ACH-001445,wgs,,,,BROAD,
PR-elakr5,MC-001697-lfJ9,ACH-001697,wgs,,,,BROAD,
PR-ELdKN5,MC-002131-Wfju,ACH-002131,wes,AGILENT,,,SANGER,
PR-eleyUv,MC-000187-uKDb,ACH-000187,wgs,,,,BROAD,
PR-elkm5d,MC-000235-3Jp1,ACH-000235,rna,,,False,BROAD,
PR-ElKQik,MC-000778-yyI9,ACH-000778,rna,,,False,BROAD,
PR-eLOZCF,MC-000143-xMKb,ACH-000143,rna,,,False,BROAD,
PR-eM3bAr,MC-001362-bIQW,ACH-001362,wes,AGILENT,,,SANGER,
PR-Em6pVT,MC-000681-VvEX,ACH-000681,rna,,,False,BROAD,
PR-eN29bJ,MC-000449-CzYj,ACH-000449,wes,AGILENT,,,SANGER,
PR-ENi2ee,MC-000517-kcbL,ACH-000517,wes,AGILENT,,,BROAD,
PR-EnZ3C5,MC-001542-iWSd,ACH-001542,wes,ICE,,,BROAD,True
PR-eOgBGd,MC-000108-dHhM,ACH-000108,wgs,,NOVA_SEQ_6000,,BROAD,
PR-EoXuyb,MC-000812-ogze,ACH-000812,rna,,,False,BROAD,
PR-ePqZSh,MC-002039-BOZb,ACH-002039,rna,,,True,BROAD,True
PR-EpuuAs,MC-000939-pxY0,ACH-000939,rna,,,False,BROAD,
PR-EqdpB5,MC-000086-pkVs,ACH-000086,wgs,,NOVA_SEQ_6000,,BROAD,
PR-EqGdPy,MC-000269-kDcc,ACH-000269,wes,AGILENT,,,SANGER,
PR-eqqLfG,MC-002444-N3F8,ACH-002444,wes,ICE,,,BROAD,
PR-eqyUyf,MC-000746-HhfN,ACH-000746,wes,AGILENT,,,BROAD,
PR-Er9ReY,MC-000510-vWgo,ACH-000510,rna,,,False,BROAD,
PR-ErgMb7,MC-001449-rTVx,ACH-001449,rna,,,True,BROAD,
PR-erKBiR,MC-000082-zify,ACH-000082,rna,,,False,BROAD,
PR-ermWZJ,MC-000101-Bp61,ACH-000101,wes,AGILENT,,,SANGER,
PR-ES3f8z,MC-002538-BzRj,ACH-002538,rna,,,True,BROAD,
PR-EsfoqB,MC-001677-OSee,ACH-001677,wgs,,NOVA_SEQ_6000,,BROAD,
PR-eSvQfJ,MC-001817-TstU,ACH-001817,rna,,,True,BROAD,
PR-EtBUC0,MC-002485-tGTc,ACH-002485,wgs,,,,BROAD,
PR-ETFBqT,MC-000473-MpEw,ACH-000473,rna,,,False,BROAD,
PR-eTh7sY,MC-001365-52X8,ACH-001365,wes,AGILENT,,,SANGER,
PR-ETM41Q,MC-000226-ZYgM,ACH-000226,wes,AGILENT,,,BROAD,
PR-eTsr5L,MC-000223-ssxx,ACH-000223,wes,AGILENT,,,SANGER,
PR-EU2Ewv,MC-000580-ymtS,ACH-000580,rna,,,False,BROAD,
PR-eueQIk,MC-000740-PW6X,ACH-000740,rna,,,False,BROAD,
PR-eUFjmR,MC-000398-TSbp,ACH-000398,wes,ICE,,,BROAD,
PR-eUfoVk,MC-001500-IO4l,ACH-001500,wes,ICE,,,BROAD,True
PR-eUlZL8,MC-000153-IsfJ,ACH-000153,wgs,,,,BROAD,
PR-eumaai,MC-000675-O6Zc,ACH-000675,rna,,,False,BROAD,
PR-EuQ6MV,MC-001517-JvBR,ACH-001517,wes,ICE,,,BROAD,True
PR-eVFKjZ,MC-000021-UvGW,ACH-000021,wgs,,,,BROAD,
PR-EvLXSQ,MC-000473-Ey6A,ACH-000473,wes,AGILENT,,,SANGER,
PR-eW4uZr,MC-002301-pUfb,ACH-002301,wes,AGILENT,,,SANGER,
PR-ew7y5I,MC-000536-0pgd,ACH-000536,rna,,,False,BROAD,
PR-EwFyoT,MC-000748-vxNq,ACH-000748,rna,,,False,BROAD,
PR-eWhkSL,MC-001190-N9fR,ACH-001190,wes,AGILENT,,,SANGER,
PR-ewjXei,MC-002066-nmqF,ACH-002066,wgs,,,,BROAD,True
PR-eXCb19,MC-000761-5VXC,ACH-000761,wes,AGILENT,,,BROAD,
PR-exCH50,MC-000548-fylx,ACH-000548,wgs,,,,BROAD,
PR-ey3so2,MC-002927-K9as,ACH-002927,rna,,,True,BROAD,
PR-ey4Yyh,MC-000118-EfzL,ACH-000118,wgs,,NOVA_SEQ_6000,,BROAD,
PR-EYrDj1,MC-000156-hhaU,ACH-000156,rna,,,False,BROAD,
PR-ez1rNy,MC-000238-YgfN,ACH-000238,wgs,,,,BROAD,
PR-eZ3iv8,MC-002669-Ivra,ACH-002669,rna,,,True,BROAD,True
PR-EZrEGr,MC-000166-YiKe,ACH-000166,wes,AGILENT,,,BROAD,
PR-F0eREf,MC-001113-k2lR,ACH-001113,wes,ICE,,,BROAD,
PR-f1EZ0e,MC-003474-N0S6,ACH-003474,rna,,HISEQ_2500,True,BROAD,
PR-f1fZbH,MC-000175-8zy8,ACH-000175,rna,,,False,BROAD,
PR-f1OPax,MC-001540-8tA1,ACH-001540,wes,ICE,,,BROAD,True
PR-F1yFEs,MC-000769-HyNe,ACH-000769,rna,,,False,BROAD,
PR-f22YyN,MC-002388-AQwa,ACH-002388,wes,AGILENT,,,SANGER,
PR-f2NT4P,MC-000957-Yckn,ACH-000957,wgs,,,,BROAD,
PR-f2uXcc,MC-000214-aZvx,ACH-000214,rna,,,False,BROAD,
PR-f3aeaA,MC-002235-2BxB,ACH-002235,wes,AGILENT,,,SANGER,
PR-f3Q8vc,MC-003108-UCmG,ACH-003108,wgs,,NOVA_SEQ_6000,,BROAD,
PR-f3tLbT,MC-002648-PEzm,ACH-002648,rna,,,True,BROAD,
PR-F4g3WW,MC-000460-OPZJ,ACH-000460,wes,ICE,,,BROAD,
PR-F4kHPf,MC-000622-2BQ2,ACH-000622,wes,AGILENT,,,SANGER,
PR-F4kvO5,MC-003437-T9B0,ACH-003437,rna,,HISEQ_2500,True,BROAD,
PR-F4LMAc,MC-000506-Zcrt,ACH-000506,rna,,,False,BROAD,
PR-f4mRi7,MC-000480-TrEW,ACH-000480,rna,,,False,BROAD,
PR-f4mZsh,MC-000765-PMrH,ACH-000765,wes,AGILENT,,,BROAD,
PR-F4n6DY,MC-002846-5XhT,ACH-002846,wgs,,,,BROAD,
PR-f4nG7d,MC-000698-61V3,ACH-000698,wes,ICE,,,BROAD,
PR-f4sBTR,MC-000503-KJA2,ACH-000503,wes,AGILENT,,,BROAD,
PR-F5f6yU,MC-000337-VmHG,ACH-000337,wgs,,NOVA_SEQ_6000,,BROAD,
PR-F5xmyp,MC-002212-nqux,ACH-002212,wes,AGILENT,,,SANGER,
PR-f67WG7,MC-000445-pJlM,ACH-000445,wes,AGILENT,,,BROAD,
PR-F68AYZ,MC-001854-sTtz,ACH-001854,rna,,,True,BROAD,
PR-F6k6d2,MC-001341-gFHa,ACH-001341,wes,ICE,,,BROAD,True
PR-F6Q8zj,MC-000605-mA6N,ACH-000605,wes,ICE,,,BROAD,
PR-F715oA,MC-000226-ZYgM,ACH-000226,rna,,,False,BROAD,
PR-f7BNiO,MC-001210-DeSa,ACH-001210,wes,ICE,,,BROAD,
PR-F7fOSJ,MC-002695-XVna,ACH-002695,wgs,,,,BROAD,
PR-f7h4Ex,MC-000327-GXLy,ACH-000327,wes,AGILENT,,,SANGER,
PR-F8qToO,MC-000062-ii2u,ACH-000062,wes,AGILENT,,,SANGER,
PR-f99RFb,MC-000763-Lfpn,ACH-000763,wgs,,,,BROAD,
PR-F9jSGW,MC-000341-URnG,ACH-000341,rna,,,False,BROAD,
PR-F9oF6w,MC-001656-cu8h,ACH-001656,rna,,,False,BROAD,
PR-fa7S8l,MC-000924-TCUt,ACH-000924,wes,AGILENT,,,BROAD,
PR-Fad1YD,MC-000847-1a8G,ACH-000847,wgs,,,,BROAD,
PR-fAUVnh,MC-000615-4XlB,ACH-000615,wes,AGILENT,,,SANGER,
PR-Fb1KnY,MC-000511-GHgo,ACH-000511,wes,AGILENT,,,BROAD,
PR-FbfJpO,MC-000929-dOQ9,ACH-000929,rna,,,False,BROAD,
PR-fBhmJ1,MC-003071-5csX,ACH-003071,wgs,,NOVA_SEQ_6000,,BROAD,
PR-fBKnqX,MC-002109-5XNA,ACH-002109,wes,AGILENT,,,SANGER,
PR-fboip1,MC-001046-dQN0,ACH-001046,wgs,,,,BROAD,
PR-FbZKpA,MC-000425-UYlA,ACH-000425,wes,AGILENT,,,SANGER,
